Country Name,Country Code,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,348.022222222222,343.516666666667,339.327777777778,339.066666666667,345.272222222222,359.011111111111,379.083333333333,402.8,426.111111111111,446.24444444444396,462.222222222222,474.727777777778,484.872222222222,494.472222222222,504.738888888889,516.1,527.733333333333,538.983333333333,548.538888888889,555.727777777778,560.188888888889,562.344444444444,563.1,563.638888888889,564.827777777778,566.922222222222,569.777777777778,573.1055555555561,576.522222222222,579.672222222222,582.622222222222
Afghanistan,AFG,17.976563122262,17.774919584597,17.7955534111448,18.179819563152897,19.0122047605919,20.3703964096437,22.187828937291304,24.226638176638197,26.1552660601048,27.740491070061,28.8782235088687,29.649735012100603,30.232768127929397,30.896124743436605,31.8291103758846,33.0958980485862,34.6180957632571,36.272510185951,37.874404926017796,39.2952194957571,40.488081671415,41.5104861685507,42.4628189810986,43.492958674141505,44.7040820390283,46.1315029255889,47.73056398002629,49.42803817051129,51.114778053487704,52.7120715007812,54.197114235823896
Angola,AGO,8.277942568380519,8.574035453597501,8.877877596855699,9.18807812625331,9.503798828908321,9.8250589556429,10.1526959172215,10.4877267987487,10.831593005534598,11.185695034892099,11.551070024865599,11.928747894441301,12.3202061442207,12.7270947300874,13.151097296863698,13.592486564530402,14.0526325499318,14.535557070666599,15.0462380685008,15.5880340097858,16.1625900376995,16.7685593968076,17.4024496671212,18.0591008261811,18.7344557632149,19.427818240154,20.139513114622602,20.8677147669848,21.6104748536135,22.366552498596302,23.1350637683484
Albania,ALB,110.315145985401,112.540328467153,114.683795620438,117.808138686131,119.946788321168,119.225912408759,118.505072992701,117.784197080292,117.063357664234,116.342481751825,115.621642335766,114.90076642335801,114.179927007299,113.459051094891,112.738211678832,111.68514598540101,111.35072992700701,110.934890510949,110.472226277372,109.908284671533,109.21704379562,108.394781021898,107.566204379562,106.843759124088,106.31463503649599,106.02901459854,105.85405109489099,105.66029197080299,105.441751824818,105.135145985401,104.967189781022
Andorra,AND,98.9723404255319,103.095744680851,107.306382978723,111.591489361702,115.97659574468099,120.576595744681,125.29361702127702,129.72553191489402,133.35531914893602,135.851063829787,136.936170212766,136.865957446809,136.472340425532,136.957446808511,139.127659574468,143.278723404255,149.040425531915,155.70638297872298,162.221276595745,167.80212765957398,172.325531914894,175.92340425531899,178.429787234043,179.708510638298,179.67872340425498,178.185106382979,175.37659574468103,171.859574468085,168.53829787234,165.98085106383002,164.46170212766
Arab World,ARB,17.5639451016904,18.0754376496682,18.592081945098897,19.114028850287102,19.8171097611641,20.3581057247267,20.734082386223896,21.2936433857055,21.8460163209286,22.5275994306427,23.052159992669,23.570274073024997,24.082369692673996,24.600198870741895,25.1298017849485,25.671659858748,26.2264246915316,26.8008119265305,27.4015344217652,28.0337121972877,28.6999402151172,29.3975064907483,30.1188865561056,30.8585805304216,31.594020665956897,32.330122298588904,33.067669850813395,33.8037852666541,34.5339783638239,35.256896947026604,35.968764505436795
United Arab Emirates,ARE,20.365812447198,21.593016051816395,22.9099690228105,24.298521543227302,25.745311179949304,27.2761616446072,28.905815263306103,30.5989721205294,32.3061813573641,34.005773021684,35.752266967051504,37.614221346099704,39.611574204449504,41.7633624331174,44.129287524640894,46.5040692762602,48.983061109546604,52.2660095747677,57.2876654463531,64.60468882005071,74.62931568572229,86.8605744860603,99.8238101943115,111.480878625739,120.388453956632,125.975457617573,128.718614474796,129.51154604336799,129.740566037736,130.426640382991,131.807659814137
Argentina,ARG,11.2175525909036,11.394938776405098,11.5719898855917,11.747086443842699,11.9190156722172,12.087229463329802,12.2517808008945,12.4128458100844,12.5709057291838,12.7263847933087,12.879198593921899,13.0294001147371,13.177765475811999,13.325301002305698,13.4727671018639,13.620706766203,13.769096609407699,13.9174944915208,14.065156082713099,14.211668475421,14.3567148635761,14.5008367772747,14.645487797302598,14.7926100508278,14.904301546759,15.0771515955406,15.2495426957383,15.421160233713,15.5916453818299,15.760632735165501,15.928135082892098
Armenia,ARM,119.15223041798401,121.24857744994699,123.100070249385,124.217562346329,124.27716894977199,123.121109940288,120.927889005971,118.12813487882,115.33779416930099,113.008359676853,111.282788900597,110.04878819810301,109.19167544784,108.500948366702,107.818440463646,107.15444327362101,106.567544783983,106.003933965578,105.399367755532,104.71615735862301,103.909624165789,103.007305936073,102.12918861959999,101.443343870741,101.064945556726,101.03751317176001,101.30765718299999,101.77674745346,102.29726027397301,102.75914998243799,103.131225851774
American Samoa,ASM,205.595,213.7,221.715,229.47,236.735,243.425,249.48,255.1,260.475,265.805,271.055,276.105,280.855,285.265,289.105,292.47,295.4,297.52,298.405,297.81,295.535,291.825,287.46,283.415,280.395,278.795,278.335,278.565,278.955,279.06,278.705
Antigua and Barbuda,ATG,140.35,140.265909090909,140.388636363636,140.927272727273,142.109090909091,144.015909090909,146.525,149.493181818182,152.736363636364,156.06818181818198,159.484090909091,162.963636363636,166.41818181818198,169.713636363636,172.763636363636,175.481818181818,177.94318181818198,180.22727272727298,182.58181818181802,185.14772727272702,187.96363636363603,190.968181818182,194.084090909091,197.15,200.06363636363602,202.847727272727,205.475,207.990909090909,210.368181818182,212.65,214.834090909091
