total energy consumption from petroleum and other liquids (quad Btu),1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Former U.S.S.R.,19.02533629,19.0686231,18.81193518,18.23259753,17.47590545,17.38806163,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Yugoslavia,0.645830417,0.664684236,0.671844353,0.660207781,0.673027515,0.531990055,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,3.618643067,3.658955425,3.700098747,3.781612848,3.754533186,3.992012846,3.983145539,3.862130697,3.835229917,3.949642648,4.017892323,4.050680025,4.217467291,4.199091096,4.142398572,4.242740382,4.108124471,4.137349931,4.167103672,4.121225015,4.117812984,4.080638395,4.007941313,3.840849497,3.758732358,3.788822781,3.719523904,3.6388175,3.585997271,3.588295347,3.51884427
French Guiana,0.005315742,0.006071562,0.006976814,0.008023492,0.009582354,0.010525495,0.008682426,0.011578312,0.011578312,0.013501388,0.013308001,0.013501388,0.013501388,0.01350139,0.007679289,0.008593572,0.007496205,0.009463088,0.009288299,0.00908333,0.007952483,0.008984807,0.009061195,0.011649281,0.010469834,0.011461398,0.009338144,0.010277209,0.010907776,0.010969989,0.012074701
French Polynesia,0.013653217,0.013799686,0.013611052,0.013727841,0.012908525,0.012970429,0.012127557,0.012094649,0.009563487,0.009962176,0.009797106,0.009962176,0.009962176,0.009962193,0.010977871,0.012259067,0.012847083,0.013783305,0.013468097,0.014093673,0.013725059,0.014442244,0.014855831,0.01478395,0.014804445,0.014235626,0.013869429,0.014042561,0.013725708,0.014353001,0.014102964
Gabon,0.020781713,0.022044066,0.024571666,0.033233214,0.032709329,0.033250588,0.03446783,0.032132483,0.032890844,0.02964603,0.031628951,0.033470938,0.0323901,0.039038612,0.028023374,0.030249704,0.029573016,0.028697292,0.029279493,0.033053906,0.032961183,0.034859164,0.034908351,0.033995167,0.041993733,0.044291745,0.046081631,0.048366819,0.048343933,0.046257944,0.045312
"Gambia, The",0.002197047,0.002674893,0.002682107,0.002674893,0.002687595,0.002674893,0.002682107,0.002887506,0.003328075,0.00307924,0.003087562,0.00307924,0.003286195,0.00328621,0.004318428,0.004704081,0.004684185,0.004684185,0.004943141,0.004985012,0.005417712,0.005610326,0.005828952,0.006253467,0.006821735,0.007170085,0.00699453,0.00696118,0.007699282,0.007881,0.007945
Georgia,--,--,--,--,--,--,0.057875726,0.033331873,0.015552139,0.016670134,0.029379552,0.030841588,0.03173675,0.051262644,0.031742263,0.02544968,0.024972256,0.025154379,0.025898241,0.033449463,0.033026702,0.042066947,0.037538005,0.03969533,0.042179922,0.04432809,0.0441899,0.04539067,0.047830848,0.054615065,0.066561
Germany,--,--,--,--,--,5.831183814,5.872094999,5.993785886,5.938289875,5.923539377,6.036963802,6.009670505,6.02521066,5.842131231,5.720481853,5.796210313,5.597451471,5.533565351,5.484392539,5.422144137,5.449269133,4.966503864,5.248259091,5.025676269,5.093740524,4.93701941,4.947372654,5.026041114,4.906570382,4.890500625,4.931441609
"Germany, East",0.763816838,0.717722551,0.673045735,0.622686257,0.5822079,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",5.032150202,4.91413026,4.970185688,4.693783721,4.941805786,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ghana,0.032625854,0.037794144,0.044482542,0.049761545,0.041898241,0.041385525,0.046549271,0.048154779,0.053533419,0.055165042,0.056395586,0.053282153,0.054540709,0.063071964,0.074430572,0.074600482,0.078420336,0.079496472,0.088219994,0.088902088,0.086565077,0.09624414,0.097998557,0.116664911,0.117916499,0.133484628,0.15197024,0.154358719,0.154628292,0.162868857,0.1770782
Gibraltar,0.018503169,0.018940033,0.024845654,0.021123025,0.022024064,0.02250079,0.040196156,0.042381582,0.042594194,0.042594194,0.042710393,0.042594194,0.048913942,0.042805903,0.119759543,0.131712236,0.145462765,0.167166505,0.159577517,0.178630768,0.17451764,0.188691569,0.183519221,0.194336542,0.187859922,0.186975954,0.188620106,0.173709309,0.164229861,0.169010241,0.171555
Greece,0.522370943,0.565354559,0.593662592,0.6317517,0.664659433,0.668352213,0.683869561,0.702258672,0.718591181,0.749399121,0.776573069,0.787413432,0.824518301,0.807187965,0.843705105,0.85447663,0.859411962,0.901729381,0.884922873,0.887648116,0.933033152,0.942625734,0.903870025,0.844901461,0.77460945,0.734083478,0.639620895,0.587672091,0.589308675,0.613602638,0.615374766
Greenland,0.004761882,0.003294473,0.007708899,0.006796787,0.007763698,0.007668115,0.006815285,0.006968799,0.007009276,0.007009276,0.007428261,0.007620578,0.007620684,0.007620701,0.008410839,0.007845931,0.007324477,0.008235967,0.007776401,0.009651072,0.008772641,0.010090213,0.008772019,0.009202961,0.012036577,0.011470147,0.009029996,0.008790343,0.007822882,0.008401949,0.008482534
Grenada,0.000945975,0.001164638,0.001209296,0.001206494,0.001793621,0.001793621,0.001849169,0.002125772,0.002437925,0.002220373,0.002377653,0.003146462,0.002728506,0.002728532,0.002944203,0.003064312,0.003148728,0.003330809,0.003234494,0.0034012,0.003519108,0.003734979,0.003971559,0.003856071,0.003991101,0.003982103,0.004048848,0.0045715,0.00386105,0.004029215,0.004142105
Guadeloupe,0.013293758,0.015416876,0.017006125,0.018767607,0.020308089,0.021120725,0.020012331,0.022833378,0.023615391,0.024258776,0.024117716,0.024663123,0.024663123,0.024663123,0.028476308,0.029925623,0.030618751,0.03096759,0.030199876,0.029999808,0.031028369,0.032333125,0.030146483,0.029771191,0.031805923,0.034832391,0.026182731,0.025964716,0.025256155,0.028866074,0.027030224
Guam,0.015361578,0.010810866,0.011186488,0.01039093,0.026087034,0.02926132,0.035182807,0.046666103,0.067949264,0.050469536,0.044742625,0.050969696,0.042131731,0.04683399,0.047709922,0.066056882,0.045915398,0.038872407,0.0451893,0.052916668,0.055806638,0.040314751,0.025385925,0.04032835,0.035947667,0.03176485,0.034010609,0.028664733,0.027735401,0.029207811,0.02717786
Guatemala,0.046577541,0.04714789,0.051986713,0.052457618,0.054909177,0.052135104,0.063319976,0.068053411,0.077281085,0.085171473,0.089269816,0.09829012,0.119234915,0.120343785,0.125899973,0.132838741,0.134676778,0.136770304,0.126396013,0.130742579,0.137931799,0.150672158,0.134905848,0.153504767,0.136973868,0.13844785,0.140958113,0.142828005,0.150566067,0.172110269,0.1844304
Guinea,0.014102072,0.015140477,0.015352273,0.014761158,0.020014118,0.015379069,0.015902627,0.016699955,0.016891689,0.016699955,0.016745708,0.016891689,0.017103389,0.017103389,0.022405737,0.02344446,0.024312028,0.025433094,0.026339367,0.027287749,0.02819598,0.029466383,0.029910156,0.031762244,0.037426396,0.038902309,0.037007402,0.032447452,0.034227091,0.03805654,0.042143289
Guinea-Bissau,0.001572776,0.00271431,0.00312104,0.003156833,0.00386004,0.00386004,0.004100583,0.00449295,0.00449295,0.00449295,0.004312863,0.00449295,0.00449295,0.004492951,0.00340127,0.003463795,0.003538605,0.004113992,0.004256625,0.004311454,0.004409737,0.004685315,0.004563103,0.004727617,0.004851532,0.004922659,0.005019561,0.005138224,0.005395824,0.005575168,0.005804803
Guyana,0.019074609,0.014485528,0.014317225,0.009614419,0.009251062,0.010912783,0.012057102,0.015442905,0.015426042,0.013065321,0.014265033,0.015188626,0.01970572,0.023667658,0.023231663,0.022629285,0.022811451,0.023573397,0.022958103,0.020776394,0.018548624,0.023038874,0.021902489,0.022572729,0.024327861,0.02525602,0.028564786,0.027818582,0.027805509,0.02837552,0.031936631
Haiti,0.010269823,0.017415355,0.018917479,0.017626836,0.009829961,0.009636037,0.011237554,0.008814349,0.007548346,0.012972575,0.015286429,0.019855661,0.018406476,0.020562385,0.020993971,0.02305371,0.025805781,0.023741906,0.027704769,0.028963209,0.029670684,0.033364329,0.033364329,0.031393394,0.029263462,0.031393394,0.03370436,0.036321521,0.039735848,0.045519528,0.047403
Hawaiian Trade Zone,0.064647121,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Honduras,0.024244322,0.024410653,0.027576014,0.033566422,0.037480025,0.036994539,0.038343478,0.037445204,0.041938318,0.048489082,0.052910827,0.053758295,0.061155385,0.064416295,0.059294939,0.070058873,0.07378974,0.081483295,0.090899022,0.090726992,0.083594054,0.107377343,0.105043817,0.094030809,0.09677549,0.098927071,0.107302477,0.108133391,0.11708882,0.129748,0.118975
Hong Kong,0.241838306,0.247491791,0.261156555,0.261169618,0.268653505,0.279054837,0.31974869,0.333576749,0.381143768,0.392397995,0.3866185,0.390262563,0.406491631,0.611416939,0.552022372,0.532551315,0.556262842,0.565430832,0.651897718,0.610898576,0.657380333,0.717183068,0.645363118,0.794000785,0.898055134,0.791675749,0.730770364,0.744865531,0.686855054,0.831165246,0.856493076
Hungary,0.407633337,0.416972804,0.379672969,0.379626872,0.366837302,0.339861798,0.34266442,0.336308424,0.339433113,0.32222465,0.302499405,0.309819817,0.323145867,0.309106858,0.296351226,0.283963511,0.287232167,0.276204614,0.278333536,0.315190316,0.332992147,0.328538861,0.324406242,0.319864143,0.303432685,0.289412488,0.269576506,0.263387844,0.294292906,0.313709577,0.315898222
Iceland,0.022791001,0.024665334,0.026386479,0.02766995,0.028137405,0.026435938,0.028401014,0.029415633,0.03319824,0.030339844,0.033585149,0.033058933,0.033756194,0.033808422,0.034465194,0.032817663,0.033601018,0.033658101,0.035189792,0.035626688,0.037452611,0.037343111,0.034291682,0.031720946,0.030471409,0.029953568,0.029721817,0.031078478,0.032542518,0.036053483,0.039825178
India,1.98653002,2.06910762,2.28751647,2.40021664,2.435768735,2.482115705,2.659680642,2.7264624,2.93664181,3.26704711,3.481923432,3.658614365,3.66229758,4.0414041,4.709073085,4.71021899,4.87294868,5.019032961,5.234381544,5.235513079,5.687828146,6.067318329,6.273533151,6.408126093,6.595880837,6.673555,7.057783,7.137878,7.36215,7.967827,8.756272
Indonesia,0.983849835,1.03277261,1.098176412,1.217132285,1.35990313,1.452858045,1.47692895,1.59758383,1.614724595,1.636414355,1.781405082,1.965829045,1.881178975,2.0037916,2.470054626,2.47160401,2.496830389,2.550283021,2.800518726,2.837699697,2.668551279,2.779716274,2.876566775,2.90960882,3.048761379,3.125207767,3.256008515,3.155578974,3.221916439,3.385147,3.2807
Iran,1.75303149,1.82992823,1.849078848,2.038694725,2.11135199,2.257553835,2.284523688,2.33736218,2.36333485,2.385746215,2.341646406,2.550759065,2.52731402,2.276200225,2.708207119,2.850701164,2.822751373,2.908039277,3.063190352,3.202544112,3.485826095,3.596460543,3.772025888,3.905462056,3.680167828,3.463731225,3.824777953,3.923463972,3.960573937,3.635036975,3.510398
Iraq,0.58643309,0.59445068,0.667734426,0.72642592,0.8281704,0.55511901,0.724129902,0.861873405,0.97761235,1.00400258,0.99779469,0.919644875,0.9370645,0.947060755,0.886093021,0.914296811,0.948307007,0.773521131,0.939104326,0.981444055,0.941913177,0.867847851,0.98373392,1.221522216,1.245914472,1.311665232,1.526585,1.597897,1.560104,1.329023,1.655434
Ireland,0.208333101,0.186514709,0.165571623,0.170807395,0.19126977,0.205372543,0.210801894,0.216878278,0.237928351,0.244653177,0.254400772,0.281237586,0.313357811,0.354631923,0.362008121,0.379233192,0.369966913,0.365955255,0.383069182,0.410531549,0.424600793,0.402468713,0.399211083,0.343617262,0.341187425,0.2988193,0.284303459,0.288826735,0.288438705,0.300794034,0.315382922
Israel,0.304413894,0.336488409,0.360279888,0.368787402,0.381072702,0.382590653,0.384044291,0.422557849,0.449891178,0.482224565,0.467269409,0.482513099,0.475457275,0.491196179,0.528295885,0.488175293,0.51798422,0.530580126,0.516833422,0.482723667,0.501712699,0.515426258,0.50714944,0.475064036,0.51353298,0.505505978,0.605041959,0.487415156,0.440306119,0.468783828,0.478247378
Italy,3.653091412,3.823493602,3.861238358,3.995650592,3.930381817,3.893685658,3.984005537,3.954716485,3.908265861,4.060208267,4.019326446,4.036440279,4.052765327,3.92500936,3.8518017,3.804610453,3.892555307,3.870674703,3.80324891,3.688207925,3.686872578,3.584715291,3.463636527,3.188113076,3.182185888,3.071791627,2.821944063,2.577941127,2.591566526,2.609184979,2.543132906
Jamaica,0.065791287,0.07224164,0.081884594,0.093689441,0.098412395,0.103325259,0.111275163,0.113162666,0.116588957,0.130607439,0.134367018,0.1403352,0.143728605,0.14723297,0.143537927,0.146678451,0.145292263,0.151427237,0.148044303,0.152615147,0.175457349,0.178760452,0.151087607,0.118249814,0.108484553,0.11442427,0.106374325,0.115920725,0.113723162,0.117375378,0.1211538
Japan,9.185443105,9.304905436,9.959864796,10.34557566,10.69665403,10.75610981,10.96752805,10.72398406,11.26609103,11.30936661,11.4155242,11.29101696,10.87450797,11.15529655,10.9149909,10.68226745,10.50569598,10.7544418,10.51665884,10.50291073,10.21986549,9.9391973,9.488668249,8.608188606,8.763764971,8.810047436,9.423563644,9.080044657,8.603040594,8.370918852,8.126939773
Jordan,0.130262149,0.139650533,0.130626388,0.131722405,0.138838773,0.13093426,0.154463126,0.150888628,0.171705125,0.17850252,0.19458573,0.186473755,0.20084709,0.20221438,0.213737309,0.20516496,0.214810167,0.22072163,0.214992128,0.23279516,0.21827868,0.214195387,0.192986905,0.200132702,0.220217295,0.271021351,0.301650106,0.289351626,0.324388658,0.277975053,0.234357
Kazakhstan,--,--,--,--,--,--,0.849526992,0.709390275,0.622537065,0.56015528,0.511206108,0.45476372,0.41322891,0.3102646,0.343450666,0.329857046,0.356104443,0.368656128,0.384390744,0.416543317,0.43681608,0.466726143,0.53680021,0.407592473,0.478710469,0.553139883,0.502244584,0.507464084,0.504762304,0.626622,0.680432
Kenya,0.081910234,0.072347417,0.081071159,0.087728407,0.087538644,0.076766545,0.085876154,0.087810861,0.091123856,0.096602506,0.101206466,0.092736244,0.106609967,0.107752672,0.131862666,0.122894172,0.117366387,0.104720643,0.117815847,0.131785576,0.145999549,0.145544458,0.149618785,0.172291246,0.177336685,0.182522366,0.169519676,0.181632877,0.184311304,0.215096396,0.2333804
Kiribati,0.000218761,0.000257563,0.000258144,0.000257563,0.000257563,0.000260355,0.000258144,0.000257563,0.000257563,0.000257563,0.000258144,0.000257563,0.000257563,0.000257576,0.000496226,0.000423423,0.000620575,0.000645183,0.000691051,0.000901517,0.001003302,0.000915651,0.001025108,0.00089432,0.000888705,0.000820201,0.000809325,0.0008187,0.000819913,0.000861122,0.000918368
Kosovo,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.023312242,0.024795947,0.023271147,0.027171307,0.024694715,0.024877864,0.023370866,0.028511106,0.028897206
Kuwait,0.251983955,0.23935313,0.253188918,0.25966319,0.17827038,0.1964357,0.253387656,0.27480631,0.350230275,0.368787605,0.404801124,0.455911645,0.512737035,0.59849488,0.469554896,0.527669863,0.593416123,0.627524029,0.64433614,0.716088371,0.703681526,0.789757752,0.856602118,0.964250935,0.86434,0.839161,0.83008,0.855341,0.810212,0.87098,0.838067
Kyrgyzstan,--,--,--,--,--,--,0.066684944,0.039755143,0.018169846,0.023852896,0.025467305,0.021314182,0.028900363,0.02375879,0.019540463,0.017737443,0.020835227,0.0207783,0.022142327,0.028227811,0.035293776,0.045816565,0.050686261,0.062409594,0.054429084,0.057484053,0.073008097,0.072970283,0.065497641,0.069790483,0.080158
Laos,0.002934272,0.002934272,0.002942311,0.003337706,0.003337706,0.003986749,0.003997672,0.003986749,0.004137494,0.004344449,0.004760891,0.005340717,0.005340717,0.005340717,0.014525595,0.015690073,0.016087631,0.017168978,0.017571993,0.018985798,0.023259684,0.022403366,0.025551795,0.028901329,0.030038337,0.031013209,0.034710366,0.035502835,0.036843282,0.04280905,0.04303577
Latvia,--,--,--,--,--,--,0.115013765,0.110554995,0.107147189,0.084035993,0.088081858,0.076892519,0.073872605,0.069336565,0.058425625,0.065670786,0.066625116,0.068290183,0.070734195,0.074301066,0.077010134,0.081973508,0.078987119,0.075057561,0.077720024,0.070693294,0.070636629,0.071356168,0.071668565,0.075529947,0.077821016
Lebanon,0.09501753,0.099806695,0.089387082,0.070521358,0.066828726,0.11174913,0.114044868,0.14020891,0.15814428,0.169147935,0.177122406,0.204327112,0.206856562,0.216705726,0.193829917,0.209414759,0.208580376,0.207266118,0.209512865,0.199662759,0.186025918,0.164163506,0.218566195,0.265342206,0.24759038,0.255964089,0.288929766,0.286439436,0.306360992,0.33685114,0.3475348
Lesotho,0.002347506,0.002347506,0.001579797,0.002347506,0.002347506,0.002347506,0.002353709,0.002322933,0.002590442,0.002590442,0.002597539,0.002590442,0.002484592,0.002484592,0.005489907,0.005533736,0.005645952,0.005642813,0.005918957,0.005995967,0.005909399,0.00902487,0.006377223,0.007304021,0.007574382,0.007923151,0.008558646,0.008579867,0.008958688,0.008861608,0.009474263
Liberia,0.017608677,0.013084204,0.017069801,0.013790193,0.008196495,0.004616982,0.004841422,0.005342852,0.005342852,0.005342852,0.005549614,0.005534587,0.005726321,0.005726323,0.006452131,0.006881554,0.006788357,0.007434339,0.008064537,0.009439875,0.009669227,0.00902487,0.007995725,0.00729852,0.011491141,0.01279475,0.014190969,0.012552892,0.016530062,0.016590672,0.019074297
Libya,0.265457565,0.28525407,0.300283602,0.308021675,0.324813865,0.34698871,0.312755784,0.33673659,0.34856989,0.37418632,0.391988196,0.4145013,0.391317595,0.378392945,0.534333853,0.533157677,0.548730071,0.568272142,0.542832094,0.572417196,0.548973385,0.521295392,0.542122433,0.630871456,0.646682091,0.38957434,0.52350828,0.528364101,0.552683485,0.448809,0.412457
Lithuania,--,--,--,--,--,--,0.186753605,0.162164281,0.151829308,0.136476781,0.143897503,0.142108747,0.160037559,0.127316568,0.099564804,0.109958665,0.108242335,0.101704148,0.110816697,0.1195028,0.118615787,0.123236729,0.130469564,0.113098707,0.114164096,0.110192651,0.11286544,0.10886297,0.106917505,0.117578144,0.127617344
Luxembourg,0.048993808,0.055438374,0.056963696,0.062583965,0.06866538,0.080029711,0.082411118,0.082125688,0.082095167,0.077006136,0.079804074,0.083320985,0.086938595,0.092752863,0.100244149,0.105674643,0.107734099,0.115681172,0.131445756,0.135263706,0.128259101,0.127423439,0.127982982,0.119855275,0.125273118,0.128316803,0.123858529,0.122146976,0.118584789,0.117399513,0.117556658
Macau,0.012679626,0.013823995,0.013444788,0.014281951,0.014901982,0.014689864,0.015155987,0.016720906,0.017734949,0.0176394,0.020212496,0.020760361,0.022256642,0.023633495,0.023182207,0.023578207,0.025463381,0.026183639,0.031313771,0.031548379,0.031545036,0.029923925,0.023894461,0.026316001,0.019775218,0.021678848,0.02230609,0.022100545,0.022736504,0.028477994,0.028018543
Madagascar,0.011895516,0.017420774,0.019151781,0.013333728,0.01292347,0.013585283,0.01491692,0.015160732,0.01672932,0.017606926,0.017655039,0.017819538,0.017819538,0.017819551,0.027116484,0.026313233,0.01912701,0.025324753,0.027776556,0.026596431,0.026318009,0.027833794,0.0300704,0.025317853,0.026958102,0.029332698,0.032551958,0.031563033,0.034730612,0.039367543,0.043177767
Malawi,0.005367398,0.00536096,0.00534715,0.006799192,0.00721876,0.0091615,0.0091866,0.008692703,0.009368455,0.009979757,0.010007099,0.009979757,0.009979757,0.009979757,0.010711061,0.009956274,0.009339128,0.010270148,0.010882945,0.009650729,0.01015095,0.009887944,0.01201056,0.010545539,0.013292704,0.012524643,0.012320688,0.012732112,0.012897817,0.011817881,0.013955506
Malaysia,0.40432145,0.41121484,0.424798632,0.454369155,0.550665645,0.584882205,0.623791734,0.6993327,0.787695185,0.82635051,0.907409526,0.938264985,0.921612955,0.916483975,0.948309984,1.000724034,1.013717531,0.99671136,1.066109531,1.050209651,1.055738064,1.231463089,1.168406533,1.237042154,1.179236466,1.311485166,1.293088224,1.433347017,1.461950899,1.417735208,1.3793938
Maldives,0.000976271,0.000976271,0.001191788,0.001188884,0.001439672,0.001439672,0.001443139,0.001683928,0.003379652,0.004644408,0.004859858,0.004198603,0.004623828,0.004623837,0.009765048,0.008187981,0.009790112,0.008511355,0.011133577,0.01007978,0.012773521,0.013215296,0.014368954,0.015267234,0.015432108,0.016678663,0.021237549,0.022396312,0.030009673,0.022432123,0.023766789
Mali,0.005084857,0.005980744,0.003178379,0.006566716,0.006579418,0.006580308,0.006984341,0.006965406,0.006965406,0.006965406,0.00742764,0.007407494,0.007599228,0.007599236,0.012646698,0.012782868,0.012994479,0.013082824,0.013559615,0.013911475,0.016441991,0.019746796,0.023563411,0.029753333,0.029753333,0.032487031,0.034604271,0.037180566,0.039855622,0.04316762,0.042618193
Malta,0.017041713,0.018678766,0.01995981,0.02094735,0.022531158,0.024573917,0.02677462,0.028444925,0.030694639,0.032874528,0.034822338,0.037159081,0.038903489,0.04314008,0.063169858,0.06959097,0.067900382,0.078912576,0.082838505,0.07067246,0.072224979,0.078678213,0.081485473,0.086823792,0.103642271,0.098458966,0.093705433,0.088858862,0.090586362,0.095359548,0.104592
Martinique,0.010372935,0.011851915,0.014453962,0.019965464,0.021812181,0.018227151,0.0200639,0.02733631,0.0270027,0.027386169,0.0274612,0.027810482,0.027597869,0.027597869,0.032104462,0.032220539,0.033449146,0.032970927,0.033083227,0.032442854,0.032301042,0.033550212,0.033716536,0.03366263,0.033647915,0.035074336,0.035602684,0.035883944,0.037123033,0.031958755,0.032233698
Mauritania,0.007056962,0.009810811,0.012781781,0.014732721,0.013202087,0.013840727,0.045688402,0.046784021,0.046650687,0.047333456,0.047906435,0.047967278,0.048196754,0.048196754,0.016884597,0.017612897,0.018935894,0.019531833,0.021057143,0.021736522,0.021156303,0.024129754,0.029742153,0.029030893,0.028749553,0.030894077,0.03429258,0.030211044,0.036523008,0.03618454,0.033696262
Mauritius,0.015223019,0.012999512,0.018974318,0.021222656,0.024794596,0.025143463,0.03009607,0.0304118,0.030562545,0.032290309,0.033276098,0.033604747,0.033834223,0.033834223,0.043166635,0.042891701,0.041678272,0.042494346,0.044722593,0.047230361,0.047347243,0.047285576,0.046533977,0.046011994,0.048959375,0.052438234,0.052083515,0.052076046,0.053663787,0.055573127,0.058677
Mexico,3.104555664,3.218602161,3.271091156,3.496651758,3.222764638,3.472428478,3.46665569,3.631873456,3.981085897,3.662284291,3.678972257,3.763416848,4.004526312,3.979230928,4.149484799,4.078241553,3.883876389,3.871577113,4.016049126,4.112805534,4.110647872,4.231634983,4.219279439,4.068107591,4.134500305,4.195109301,4.168877508,4.128185883,4.010070968,3.936013626,4.049421792
Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,--,--,--,--,--,--,0.121248828,0.089048539,0.047984183,0.046377898,0.041312762,0.038058258,0.031728136,0.017607308,0.019203252,0.020965294,0.023756496,0.025950294,0.028295181,0.028613922,0.027927431,0.028981134,0.031052543,0.030141497,0.033328108,0.034727516,0.032996864,0.032548089,0.034744069,0.035490521,0.036040451
Mongolia,0.035071062,0.035492637,0.036613981,0.033976646,0.031980716,0.029943761,0.027176378,0.025889998,0.026697779,0.023477676,0.02436817,0.016032985,0.016980805,0.017576899,0.019043329,0.019375934,0.020839523,0.022651384,0.024885382,0.024347088,0.028109333,0.034574277,0.036896814,0.033555689,0.035504668,0.044297868,0.050508528,0.052580632,0.049785207,0.0490466,0.042837
Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.016145133,0.017167385,0.017635527,0.013998645,0.01326133,0.012686649,0.012005319,0.011663123,0.011857783,0.014140391,0.015024
Montserrat,0.000173811,0.000217623,0.000217647,0.000217623,0.000256425,0.000448159,0.000449283,0.000448159,0.000448159,0.000660772,0.000662478,0.000660772,0.000660772,0.000660789,0.000396879,0.000396879,0.000572051,0.000572051,0.000572051,0.000572051,0.000572051,0.000635877,0.000816372,0.000690278,0.000922334,0.000637589,0.000618552,0.000779384,0.000727782,0.00081906,0.000467246
Morocco,0.194437946,0.189785765,0.203974289,0.228086201,0.240153064,0.24270967,0.270589363,0.277414308,0.304461757,0.288110013,0.28139017,0.294991102,0.28934791,0.318930394,0.30237077,0.299357795,0.304290729,0.314421299,0.367032771,0.397604266,0.403720493,0.426544043,0.455691225,0.481179853,0.520610854,0.564143364,0.564226347,0.567248369,0.553003603,0.539550578,0.5364186
Mozambique,0.013978517,0.014191129,0.020977583,0.016628123,0.014613104,0.014486931,0.014444374,0.014192772,0.013560592,0.01485313,0.014887673,0.015251819,0.015750115,0.016385215,0.022214909,0.023506618,0.021177199,0.026746605,0.02279603,0.022677372,0.024253243,0.030747714,0.027569677,0.031026668,0.033097436,0.037324698,0.036053587,0.041910718,0.045628706,0.053084,0.082014
Namibia,--,--,--,--,0.032662828,0.015844733,0.014961385,0.01809086,0.017628807,0.017628807,0.018638404,0.019546152,0.020888293,0.030086731,0.027262112,0.0333237,0.029156428,0.03087127,0.031776372,0.033669365,0.03308251,0.034527652,0.03826824,0.040358034,0.042953219,0.044061247,0.044959829,0.048089251,0.05061667,0.05484942,0.0549108
Nauru,0.001905895,0.001905895,0.001910754,0.001905895,0.001905895,0.001905895,0.001910754,0.001905895,0.001905895,0.002135371,0.002140859,0.002135371,0.002135371,0.002135382,0.001562009,0.001415747,0.001328913,0.001191369,0.001118101,0.001095681,0.000797771,0.000776977,0.000790272,0.000768162,0.000809698,0.002372231,0.000791126,0.000896848,0.000941001,0.000972632,0.001011824
Nepal,0.007962678,0.008772288,0.008498176,0.008537328,0.008365444,0.010572345,0.012206224,0.012255715,0.01450594,0.014931165,0.019001512,0.022797973,0.029216316,0.031301926,0.030479178,0.030897594,0.030509228,0.031430762,0.030145087,0.031230547,0.028215044,0.026611237,0.03280589,0.038910574,0.042730324,0.044187569,0.048031494,0.052151775,0.05771369,0.04876248,0.083639
Netherlands,1.38646973,1.415306247,1.502310065,1.48263518,1.628648513,1.633722698,1.659618371,1.661301799,1.712680709,1.732213746,1.772573439,1.832752791,1.845069672,1.881382838,1.924038562,1.988545045,2.051317007,2.09987311,2.153476892,2.203326112,2.260755795,2.281946345,2.186298789,2.063292166,2.073642561,2.083686193,2.037227603,1.960685595,1.929157211,1.895027628,1.946058173
Netherlands Antilles,0.151507485,0.152043853,0.143635968,0.150339631,0.147085948,0.140197595,0.138572907,0.138521771,0.143189865,0.152404947,0.150699695,0.159678959,0.16161032,0.157933639,0.186431495,0.19147504,0.186160501,0.184854101,0.191820249,0.198836306,0.200193,0.211744648,0.211363514,0.202795863,0.174839058,0.197090503,0.183055064,0.183387088,0.185049796,0.189644889,0.191461193
New Caledonia,0.014085073,0.015831666,0.014494149,0.01579794,0.016675486,0.017802222,0.018727943,0.018677301,0.018043479,0.018043479,0.018935465,0.018884256,0.018884256,0.018884288,0.023168309,0.022260301,0.025008356,0.027610477,0.026602424,0.030527651,0.029729365,0.032575531,0.03220832,0.032554499,0.033342396,0.031719859,0.034544135,0.037982836,0.044306791,0.040889393,0.041229051
New Zealand,0.167420446,0.181462754,0.190701982,0.199378994,0.215148645,0.209336118,0.221199394,0.221479544,0.242873663,0.253576638,0.253844176,0.260217399,0.26201962,0.265442494,0.272109711,0.273109418,0.284382211,0.295492459,0.304796984,0.309812369,0.312625663,0.315433125,0.320461349,0.306056069,0.309204725,0.310363444,0.309005089,0.314133044,0.317589485,0.324685041,0.339069855
