total energy consumption (quad Btu),1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
French Guiana,0.005315742,0.006071562,0.006976814,0.008023492,0.009582354,0.010525495,0.008682426,0.011578312,0.011578312,0.013501388,0.013308001,0.013501388,0.013501388,0.01350139,0.007679289,0.014070062,0.013081182,0.015244463,0.015227787,0.015242714,0.014290724,0.015537899,0.015850601,0.018588641,0.017767322,0.018252882,0.015238064,0.015496136,0.016271416,0.016151353,0.016746093
French Polynesia,0.014018827,0.014164351,0.014209844,0.014395489,0.013626263,0.013742693,0.013058337,0.013063695,0.010553823,0.011251176,0.011172326,0.011320505,0.011501923,0.010851855,0.012161187,0.013344032,0.014179746,0.015342555,0.015250945,0.015883494,0.015708859,0.016646376,0.016944879,0.01684331,0.017509784,0.01647322,0.01592774,0.016020411,0.015611541,0.016247554,0.01616447
Gabon,0.028775303,0.033296658,0.035142922,0.04381299,0.043142131,0.044354652,0.045570183,0.043159663,0.044303122,0.041509044,0.043277892,0.045420523,0.044357348,0.051223672,0.03916256,0.042259397,0.042270082,0.041117274,0.04190123,0.044860575,0.04601228,0.045724348,0.046665957,0.046166591,0.05380041,0.055060853,0.068995523,0.069711614,0.072786187,0.069967063,0.069324971
"Gambia, The",0.002197047,0.002674893,0.002682107,0.002674893,0.002687595,0.002674893,0.002682107,0.002887506,0.003328075,0.00307924,0.003087562,0.00307924,0.003286195,0.00328621,0.004318428,0.004704081,0.004684185,0.004684185,0.004943141,0.004995011,0.005427631,0.005630094,0.00584866,0.006283723,0.00685393,0.007205062,0.007024029,0.006990757,0.007728763,0.007909889,0.007973619
Georgia,--,--,--,--,--,--,0.323522455,0.197684948,0.152947071,0.150842969,0.15876913,0.163565304,0.165571899,0.160586535,0.137121087,0.126668426,0.149248363,0.13274631,0.13725168,0.156140292,0.141116174,0.176576502,0.176860583,0.179631402,0.192763319,0.180305387,0.186458411,0.211723224,0.219495598,0.232836367,0.245936172
Germany,--,--,--,--,--,13.88309237,13.66585763,13.57080002,13.48478056,13.7783288,13.95571796,13.81279893,13.82821581,13.69985395,13.81815716,14.27914941,14.02708711,14.02429931,14.17572989,14.00783035,14.36111593,13.75900355,14.13288386,13.2794752,14.04010246,13.52587495,13.6093045,13.99022752,13.56144474,13.71572542,13.8378998
"Germany, East",6.505424554,6.458365377,6.395085506,6.215205302,5.355718304,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",11.73826201,11.76166784,11.79885619,11.53518707,11.71216335,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ghana,0.077535048,0.085044085,0.093189122,0.102823081,0.100163477,0.104060881,0.113182399,0.111390223,0.114712127,0.116640574,0.12325005,0.121328635,0.094913733,0.115323342,0.142038426,0.142858939,0.130766144,0.119742464,0.141450622,0.145367013,0.141417164,0.133459808,0.157693447,0.181376903,0.186906468,0.234972112,0.241124201,0.253305989,0.257153215,0.263945011,0.258131527
Gibraltar,0.018503169,0.018940033,0.024845654,0.021119613,0.022020652,0.022497378,0.040192744,0.042364522,0.042594194,0.042594194,0.042710393,0.042594194,0.048913942,0.042805903,0.119759543,0.131712236,0.145462765,0.167166505,0.159577517,0.178630768,0.17451764,0.188691569,0.183519221,0.194336542,0.187859922,0.186975954,0.188620106,0.173709309,0.164229861,0.169010241,0.171555
Greece,0.778901663,0.834962418,0.884874751,0.924209131,0.961285862,0.976993313,1.011949744,1.017967734,1.049428161,1.084402067,1.131079078,1.139712841,1.209283619,1.215953307,1.285129317,1.306477204,1.322686307,1.397228667,1.396282567,1.404665617,1.44954542,1.468406521,1.445798306,1.375003963,1.319573458,1.282806838,1.185018735,1.131389246,1.124352946,1.134079177,1.118270356
Greenland,0.004761882,0.003294473,0.007708899,0.006796787,0.007763698,0.007668115,0.006815285,0.006968799,0.007009276,0.007009276,0.007428261,0.007620578,0.007620684,0.009369347,0.01015521,0.009478545,0.009175963,0.010058467,0.009699473,0.011680869,0.010716765,0.012106549,0.010762527,0.011789361,0.014895085,0.014725007,0.012284468,0.012358677,0.011550802,0.01230661,0.012147638
Grenada,0.000945975,0.001164638,0.001209296,0.001206494,0.001793621,0.001793621,0.001849169,0.002125772,0.002437925,0.002220373,0.002377653,0.003146462,0.002728506,0.002728532,0.002944203,0.003064312,0.003148728,0.003330809,0.003234494,0.0034012,0.003519108,0.003735968,0.003972544,0.003857047,0.004011588,0.004012223,0.004078348,0.004601077,0.0040037,0.004047853,0.004169801
Guadeloupe,0.013607138,0.015729446,0.017315845,0.019080567,0.020620149,0.021433805,0.020322591,0.023152957,0.023935187,0.024578448,0.024438256,0.025020578,0.025071003,0.025072163,0.029761634,0.031041587,0.031920895,0.03313434,0.03254362,0.03217959,0.033250225,0.034576793,0.032225677,0.031908631,0.033932731,0.037096219,0.028123995,0.027891998,0.027329335,0.030813745,0.028848928
Guam,0.015361578,0.010810866,0.011186488,0.01039093,0.026087034,0.02926132,0.035182807,0.046666103,0.067949264,0.050469536,0.044742625,0.050969696,0.042131731,0.04683399,0.047709922,0.066056882,0.045915398,0.038872407,0.0451893,0.052916668,0.055806638,0.040314751,0.025385925,0.040329326,0.035949618,0.031766793,0.034016319,0.028683815,0.027763931,0.0294967,0.027787172
Guatemala,0.064941609,0.065360302,0.071664257,0.07494901,0.079988399,0.07776592,0.085606986,0.09146515,0.102122013,0.109266293,0.112993292,0.12205183,0.141762993,0.15124405,0.162431569,0.167707425,0.171233984,0.18798742,0.177470365,0.183195875,0.194175812,0.208155874,0.193322911,0.20279063,0.205081348,0.208962899,0.21476156,0.223102396,0.236985521,0.271930754,0.292294423
Guinea,0.01580477,0.016859612,0.017086705,0.016534598,0.021813664,0.017215805,0.017743503,0.018555575,0.018769201,0.018669547,0.018762008,0.019802394,0.020233868,0.021101755,0.026547343,0.029086278,0.030303925,0.029442594,0.031838151,0.03217726,0.032719044,0.034734555,0.035073652,0.036816948,0.042137568,0.042923761,0.041640742,0.037046214,0.038287861,0.046378407,0.052243097
Guinea-Bissau,0.001572776,0.00271431,0.00312104,0.003156833,0.00386004,0.00386004,0.004100583,0.00449295,0.00449295,0.00449295,0.004312863,0.00449295,0.00449295,0.004492951,0.00340127,0.003463795,0.003538605,0.004113992,0.004256625,0.004311454,0.004409737,0.004685315,0.004563103,0.004727617,0.004851532,0.004922659,0.005019561,0.005138224,0.005398677,0.005584487,0.005814035
Guyana,0.019126839,0.014537623,0.014368845,0.009666579,0.009303072,0.010964963,0.012177052,0.015535394,0.015528802,0.013185121,0.014367913,0.015287459,0.019766902,0.023729014,0.023649904,0.023114936,0.023381139,0.024089772,0.023518999,0.021228349,0.018997954,0.023507376,0.022349861,0.023016809,0.024792246,0.025778741,0.029002522,0.028219304,0.028338069,0.028907635,0.032399154
Haiti,0.015242931,0.022176589,0.023465156,0.021832332,0.014021932,0.014188549,0.015338389,0.011608088,0.009931342,0.015550575,0.018067889,0.021877835,0.021496167,0.023272275,0.023850251,0.02594695,0.028420242,0.026293406,0.030278881,0.031582947,0.032328976,0.034866697,0.035128195,0.033394194,0.030979543,0.032568058,0.035807396,0.037676343,0.040601258,0.046376876,0.04823388
Hawaiian Trade Zone,0.064647121,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Honduras,0.03755893,0.036218426,0.045539686,0.052615058,0.058980793,0.05890459,0.060788277,0.060622921,0.060584343,0.06549889,0.073273674,0.075239713,0.08073571,0.086505713,0.083188741,0.090688579,0.091548059,0.100443367,0.106889141,0.109540019,0.105385042,0.130542064,0.129314356,0.122552589,0.129704055,0.12990575,0.139783557,0.139998145,0.148856639,0.165544138,0.160275806
Hong Kong,0.399205015,0.443961053,0.479443092,0.49311754,0.531226831,0.55730465,0.613494274,0.65719208,0.65437337,0.678566575,0.687169709,0.680761857,0.715727911,0.908707821,0.859637058,0.870095379,0.903680832,0.93651525,1.043446811,1.02521666,1.083514985,1.15588643,1.086366588,1.254672741,1.340309636,1.259631136,1.188209748,1.209486997,1.170288778,1.275953699,1.305379637
Hungary,1.178655377,1.202612774,1.182309275,1.186762646,1.12381026,1.09122222,0.996853919,1.019897217,1.015071863,1.024176135,1.055423364,1.029144076,1.028077811,1.023581347,0.995088534,1.031115469,1.028927464,1.052483528,1.062189037,1.140225776,1.124907235,1.093573447,1.087466013,1.011313677,1.03179562,1.002109817,0.939457138,0.911559524,0.937532987,0.982909932,1.002685042
Iceland,0.06830182,0.070452834,0.074547718,0.077045764,0.077166452,0.075485149,0.076786023,0.07951219,0.084802698,0.083423261,0.0886788,0.091876621,0.099936785,0.109043989,0.116219828,0.118956694,0.122460442,0.12272648,0.125097247,0.125878274,0.13889705,0.159162436,0.199082955,0.198100752,0.197455891,0.1972074,0.198361797,0.206843673,0.205460897,0.212841541,0.211695144
India,5.657328549,5.964408477,6.600253648,6.960810397,7.460755176,7.857381735,8.278263008,8.62637611,9.26800549,9.876121666,10.32691469,10.8456512,11.00625267,11.73475996,12.56505519,12.79674127,13.39337945,13.88789515,15.09675772,15.93693808,17.2070854,18.63329334,19.13197983,20.22608682,21.69790702,22.81170341,25.10523359,25.70778491,27.3079453,28.37694192,29.47808804
Indonesia,1.653456489,1.733195003,1.873418791,2.096781558,2.309260842,2.574535812,2.659820373,2.822031559,2.989685408,3.158868606,3.419722195,3.607847912,3.458089166,3.840075978,4.184356737,4.039276815,4.142737093,4.267562184,4.455121702,4.659610978,4.819220075,5.164774468,5.464010097,5.718329965,6.237653234,6.115062463,6.330711581,6.494325886,6.622229329,7.006718964,7.07667145
Iran,2.422957947,2.531710869,2.702340601,2.96702565,3.011764265,3.222688667,3.353643128,3.473933644,3.670933694,3.815485814,3.912228692,4.424980401,4.585359441,4.60862217,5.144679721,5.575432445,5.913827201,6.151655707,6.420588307,7.344160991,7.782762386,8.054644832,8.327426159,9.296429055,9.216005001,9.350124304,9.778864403,10.01580615,10.64118699,10.77808757,11.1657442
Iraq,0.620907014,0.637388756,0.767128198,0.824758528,0.91507167,0.599155862,0.837043908,0.962282442,1.100528594,1.127030198,1.123424818,1.038290505,1.052125814,1.070766009,1.008735261,1.022671069,1.040776122,0.818537042,1.013195059,1.098685875,1.077500447,0.985455054,1.097386729,1.314245487,1.358578631,1.401409066,1.626546332,1.728490974,1.663506701,1.434806985,1.768347218
Ireland,0.331368036,0.328446698,0.321250862,0.338643786,0.359921532,0.374525722,0.374374745,0.391099759,0.40923933,0.419133018,0.449294726,0.47609199,0.515380599,0.556047951,0.59338733,0.616994725,0.614190299,0.608842714,0.635026066,0.660988805,0.690413221,0.680653962,0.683864645,0.617665029,0.632248056,0.581080312,0.569792188,0.569910023,0.572619724,0.600691868,0.631577569
Israel,0.384949983,0.42284982,0.44498053,0.459347427,0.473459308,0.48357317,0.507312688,0.563820474,0.59968216,0.643843918,0.659895577,0.694550755,0.704244165,0.714922364,0.779091532,0.771464288,0.817745863,0.842144208,0.852392293,0.817705334,0.84561883,0.881773755,0.861961757,0.873369906,0.93932832,0.928413115,1.000746183,0.954144509,0.996373384,1.041778103,1.063460184
Italy,6.118595254,6.334642873,6.497867888,6.682138296,6.731485289,6.885300251,6.885650117,6.827297729,6.767750928,7.075316083,7.109649745,7.186291713,7.397771742,7.517550105,7.58372763,7.643417855,7.668631326,7.921803321,8.10855074,8.150024005,8.099951688,7.987510347,7.932118402,7.383863249,7.680711338,7.51846811,7.239760921,6.924372394,6.703538709,6.768595461,6.721844893
Jamaica,0.067493985,0.074179574,0.084000778,0.097437862,0.101973299,0.106438253,0.115130246,0.116868003,0.120509874,0.134344358,0.138457079,0.144589861,0.147842998,0.151401121,0.147443479,0.149601163,0.148935959,0.155216644,0.151844202,0.156572097,0.178862883,0.182176354,0.154929344,0.122782912,0.112949297,0.119625315,0.111785379,0.12198553,0.12008687,0.124022397,0.128749386
Japan,16.03771989,16.45508401,17.46115054,18.00649075,18.95906691,19.38243939,19.5067861,19.77500244,20.46610041,21.12385508,21.53111543,21.9025807,21.48369606,21.92754257,22.20953665,22.04019063,21.89771208,22.06261782,22.34404647,22.48156999,22.66953011,22.55838296,21.48317287,20.51144828,21.50711636,20.82695324,20.33752316,20.506633,20.10347447,19.69084493,19.64886952
Jordan,0.129563319,0.139507294,0.130905136,0.134831349,0.143842141,0.136369398,0.160723618,0.158998376,0.18271955,0.191529367,0.205840288,0.198937907,0.212762254,0.214958729,0.226361007,0.217415502,0.228016996,0.248989687,0.270503556,0.29368761,0.303659698,0.292034193,0.281328274,0.292569132,0.304518974,0.318877469,0.338368099,0.335761252,0.348014142,0.373266845,0.39894029
Kazakhstan,--,--,--,--,--,--,4.064744653,3.541705317,3.365016629,2.774790364,2.663326102,2.322241494,2.258735761,2.084911257,2.163205208,2.178002859,2.312596386,2.261758084,2.600981125,2.584823038,2.710106643,3.21122406,3.656102761,2.972590276,3.184009723,3.481876099,3.435240214,3.458657576,3.287529936,3.313168111,3.50160722
Kenya,0.107797139,0.09900912,0.112486426,0.121364047,0.122596066,0.114089495,0.123127192,0.127016995,0.129787771,0.137913557,0.144298165,0.134143677,0.147794084,0.140268644,0.155734185,0.158557123,0.159978236,0.152195208,0.163624093,0.177847338,0.1951006,0.196528658,0.193984969,0.211891294,0.229938156,0.237242606,0.233678981,0.245904188,0.255248609,0.30518448,0.319110346
Kiribati,0.000218761,0.000257563,0.000258144,0.000257563,0.000257563,0.000260355,0.000258144,0.000257563,0.000257563,0.000257563,0.000258144,0.000257563,0.000257563,0.000257576,0.000496226,0.000423423,0.000620575,0.000645183,0.000691051,0.000905516,0.00100727,0.000919604,0.001030035,0.0008992,0.000895534,0.000827002,0.000816938,0.000826332,0.000829423,0.000898398,0.000964528
Kosovo,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.083732317,0.094086423,0.096773591,0.097840472,0.09007992,0.090570747,0.08361511,0.095782254,0.100049372
Kuwait,0.451960955,0.53670113,0.620685918,0.69416819,0.407142367,0.2152817,0.350261331,0.475209439,0.570969285,0.589526615,0.62554071,0.798668087,0.84551028,0.917957195,0.824513472,0.841957355,0.889217491,0.96399641,1.002994411,1.170891881,1.162563012,1.235693427,1.326194461,1.421985627,1.401359936,1.467894368,1.507370775,1.545297722,1.496965553,1.653163379,1.669469364
Kyrgyzstan,--,--,--,--,--,--,0.285104547,0.248716276,0.231611755,0.181374972,0.232253441,0.219053616,0.219578516,0.23623962,0.238814594,0.226613623,0.193577543,0.20448794,0.208783539,0.196479198,0.200194329,0.219810101,0.209374749,0.21188947,0.202770957,0.230766236,0.26076731,0.246039588,0.250013411,0.224387424,0.228700795
Laos,0.009554942,0.007548933,0.007103451,0.009018586,0.010168812,0.011062913,0.011021811,0.011322919,0.011245085,0.013310404,0.015673285,0.016141219,0.020633785,0.023143862,0.03862055,0.041027725,0.040765643,0.039722281,0.041181971,0.047628911,0.054601352,0.052921913,0.060155778,0.063147637,0.099792464,0.131108137,0.136547113,0.16127806,0.163862368,0.240404144,0.417183736
Latvia,--,--,--,--,--,--,0.227582319,0.191597364,0.18259289,0.166936043,0.159459852,0.163857314,0.159461097,0.152448176,0.152601263,0.16452677,0.162014771,0.16691433,0.17957607,0.18706879,0.183342468,0.182169771,0.168234912,0.173991639,0.184431717,0.165592477,0.172146991,0.16477678,0.155948337,0.157795756,0.165025718
Lebanon,0.10207729,0.107164315,0.096730798,0.076981758,0.0712488,0.11732439,0.120056578,0.150622806,0.169612456,0.18212134,0.193141224,0.221148768,0.223156294,0.228749098,0.206796448,0.22006051,0.221792296,0.224403335,0.223327739,0.21351574,0.197932913,0.175191234,0.226180334,0.279699119,0.270206373,0.272889047,0.305422595,0.304489446,0.313752296,0.346141576,0.354305902
Lesotho,0.002347506,0.002347506,0.001579797,0.002347506,0.00300261,0.003050378,0.003176001,0.003281705,0.003648162,0.00369593,0.003740559,0.003675458,0.0031977,0.004666322,0.008468739,0.008615121,0.008894866,0.009063094,0.008979009,0.010629864,0.011253354,0.014671206,0.012302559,0.014051589,0.015030858,0.013571111,0.014241142,0.014465902,0.01482854,0.01469121,0.015390635
Liberia,0.020899167,0.016376608,0.020383805,0.017034545,0.008196495,0.004616982,0.004841422,0.005342852,0.005342852,0.005342852,0.005549614,0.005534587,0.005726321,0.005726323,0.006452131,0.006881554,0.006788357,0.007434339,0.008064537,0.009439875,0.009669227,0.00902487,0.007995725,0.00729852,0.011491141,0.01279475,0.014190969,0.012552892,0.016530062,0.016590672,0.019074297
Libya,0.441353565,0.45382107,0.464662602,0.480776675,0.508035049,0.53037076,0.494933784,0.512736662,0.53010922,0.55351648,0.584996678,0.616013987,0.592830282,0.535166118,0.726602839,0.732451876,0.755049483,0.743902466,0.762092688,0.788140673,0.722682691,0.717909231,0.745320084,0.852991086,0.899516409,0.590368921,0.735600889,0.7911765,0.772690163,0.615207506,0.601865306
Lithuania,--,--,--,--,--,--,0.479512157,0.388468483,0.333156128,0.356479059,0.367974483,0.360478417,0.401221265,0.303452019,0.281114126,0.315488001,0.340817826,0.350563043,0.353805658,0.330842973,0.319973986,0.352866761,0.36609251,0.321164669,0.265250557,0.277242024,0.276541981,0.275430431,0.257711328,0.256484831,0.263322767
Luxembourg,0.128193984,0.127019051,0.132213856,0.14190052,0.147569081,0.158274189,0.157865436,0.160098273,0.156527745,0.14023092,0.143345137,0.141809924,0.138799725,0.14604326,0.155596141,0.162395005,0.17122564,0.17915314,0.201113579,0.203728328,0.201101359,0.19760466,0.196707954,0.185788457,0.197447242,0.19437834,0.189893757,0.184314938,0.179033007,0.177045895,0.177202143
Macau,0.01282293,0.013960475,0.013577856,0.014459375,0.015251744,0.015031854,0.015546076,0.017063269,0.018212771,0.018861378,0.020836472,0.021366158,0.022834133,0.024247508,0.023546783,0.024255941,0.026129233,0.02682448,0.031863334,0.032738671,0.034864022,0.035695579,0.031779593,0.033914525,0.034993047,0.035194322,0.03545935,0.035962954,0.03885921,0.042381503,0.043081499
Madagascar,0.014933188,0.020683193,0.022531566,0.016915509,0.016717065,0.017327754,0.018731603,0.01900611,0.020565328,0.021625684,0.022221809,0.022671744,0.023174394,0.023256845,0.032838654,0.031982688,0.024783195,0.031653883,0.03434033,0.033370329,0.032899074,0.035089169,0.037172043,0.032790539,0.034685775,0.039309527,0.045939354,0.049341764,0.052227326,0.054994845,0.060654648
Malawi,0.012115874,0.012663966,0.012700327,0.014294171,0.01601676,0.018356808,0.018668894,0.018206558,0.019325197,0.020124956,0.020419758,0.020422789,0.021552868,0.021377924,0.023258008,0.022784287,0.022563207,0.023824171,0.025388081,0.024599833,0.02535999,0.025247594,0.028881199,0.026884186,0.032228969,0.031836578,0.031991564,0.032934275,0.03380358,0.032426919,0.03446721
Malaysia,0.74643486,0.74945595,0.792987887,0.859036549,0.843542921,0.927395406,0.989864497,1.139727178,1.339947133,1.458416499,1.543425425,1.62767258,1.634924954,1.641461319,1.818057902,1.930716939,2.089354583,2.085680768,2.127298337,2.362957098,2.558365128,2.711969404,2.768607805,2.834561326,2.974306275,3.06502136,3.109476271,3.286712999,3.430928743,3.329594117,3.304982554
Maldives,0.000976271,0.000976271,0.001191788,0.001188884,0.001439672,0.001439672,0.001443139,0.001683928,0.003379652,0.004644408,0.004859858,0.004198603,0.004623828,0.004623837,0.009765048,0.008187981,0.009790112,0.008511355,0.011133577,0.01007978,0.012773521,0.013235064,0.014388662,0.015286754,0.015452596,0.016700038,0.021256581,0.022415394,0.030028693,0.022450761,0.023785253
Mali,0.006735325,0.007647784,0.004892163,0.008319292,0.00846218,0.00847966,0.009135477,0.009212768,0.009234926,0.009264982,0.00959904,0.009725845,0.009944538,0.009951216,0.015023531,0.01520079,0.015395307,0.015452074,0.016043583,0.018381028,0.021193192,0.02440216,0.029199899,0.036312053,0.037002041,0.040016931,0.042575455,0.048045296,0.05176353,0.055588873,0.055928669
Malta,0.019784846,0.022098287,0.024656955,0.025400243,0.02766044,0.029139542,0.030626279,0.03232876,0.03461065,0.033583824,0.034835227,0.037159099,0.038918425,0.043149214,0.063174688,0.069591483,0.067900416,0.078912666,0.08284344,0.070676854,0.072228832,0.078682967,0.081487882,0.086837324,0.103662585,0.098556159,0.093981422,0.089211508,0.091318635,0.099910132,0.111046269
Martinique,0.010372935,0.011851915,0.014453962,0.019965464,0.021812181,0.018227151,0.0200639,0.02733631,0.0270027,0.027386169,0.0274612,0.027810482,0.027597869,0.027597869,0.032104462,0.032220539,0.033601741,0.033122802,0.033233467,0.032612837,0.03261845,0.033886268,0.034041718,0.03398471,0.033891815,0.035229792,0.03580252,0.036055682,0.037360783,0.032229006,0.032510658
Mauritania,0.007391753,0.010192745,0.013136036,0.015116878,0.013583595,0.014210434,0.046057245,0.047143149,0.047014181,0.047703164,0.048268156,0.048314288,0.048502713,0.0485038,0.017211029,0.017964219,0.019281776,0.019946958,0.021497847,0.022226473,0.021662172,0.02466349,0.030333393,0.030104493,0.029881249,0.032157157,0.035586756,0.032205113,0.038643738,0.039203896,0.037398294
Mauritius,0.017803111,0.015734787,0.021026022,0.024455045,0.027109842,0.027460168,0.032824556,0.03306955,0.032957908,0.03529378,0.035360405,0.035728415,0.036722299,0.040505016,0.054830534,0.055961326,0.054974202,0.056166778,0.057880788,0.062029428,0.0647513,0.067204322,0.069160327,0.066715098,0.071882566,0.073681399,0.07429351,0.075329618,0.07762994,0.08051611,0.08370224
Mexico,4.401801203,4.512362336,4.601506925,4.852125245,4.721370917,5.055513056,5.110356669,5.39716322,5.748156078,5.581116062,5.728999066,5.80716227,6.223646164,6.227460207,6.48863554,6.464437308,6.471746306,6.696248247,6.867704715,7.086612751,7.386782205,7.514162931,7.602054169,7.54673362,7.522427225,7.728797292,7.696043127,7.75800224,7.649045213,7.766301741,7.942053286
Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,--,--,--,--,--,--,0.26358071,0.206420039,0.15714659,0.140328857,0.152421951,0.153354511,0.14248217,0.112250972,0.115290829,0.111582161,0.123683253,0.137237301,0.126109873,0.137373097,0.145415274,0.126495241,0.130785302,0.117844057,0.116558525,0.112902329,0.154423053,0.151797731,0.145295677,0.13027685,0.130169082
Mongolia,0.199339746,0.208451077,0.21926077,0.20786587,0.192243033,0.19936615,0.178051186,0.163333606,0.152251592,0.150880329,0.150236332,0.139188966,0.13881184,0.139657353,0.145954483,0.145842288,0.155553727,0.148884845,0.146564904,0.150509897,0.165629698,0.172867163,0.170881767,0.170350994,0.179420776,0.180869025,0.189550404,0.194896105,0.190210807,0.195663566,0.205656684
Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.052384375,0.047116804,0.053246755,0.04592808,0.057344665,0.047301318,0.045948715,0.049483124,0.044198195,0.045465239,0.045400406
Montserrat,0.000173811,0.000217623,0.000217647,0.000217623,0.000256425,0.000448159,0.000449283,0.000448159,0.000448159,0.000660772,0.000662478,0.000660772,0.000660772,0.000660789,0.000396879,0.000396879,0.000572051,0.000572051,0.000572051,0.000572051,0.000572051,0.000635877,0.000816372,0.000690278,0.000922334,0.000637589,0.000618552,0.000779384,0.000727782,0.00081906,0.000467246
Morocco,0.232803427,0.234716609,0.249791009,0.279066599,0.29170861,0.299503662,0.319126539,0.323247942,0.357074698,0.343450331,0.348962255,0.36701809,0.369984651,0.387452131,0.384420894,0.40207683,0.409163917,0.426708019,0.488565414,0.529359796,0.545196016,0.571984384,0.592883982,0.629596923,0.683327632,0.728767556,0.743231611,0.761374477,0.786165748,0.785276745,0.780609712
Mozambique,0.015416125,0.015567145,0.022592359,0.018258623,0.018644966,0.019133247,0.018883398,0.020369501,0.019700444,0.02076733,0.021706773,0.025820426,0.032056762,0.077787259,0.106740744,0.135058115,0.13270845,0.134748645,0.13758707,0.150997765,0.16453774,0.183631159,0.170817516,0.183809181,0.185457914,0.20847994,0.224787322,0.238903081,0.260836467,0.27898207,0.280158649
Namibia,--,--,--,--,0.03466226,0.018415675,0.017134146,0.021547557,0.020542654,0.032298179,0.031356143,0.030289954,0.033277522,0.044560466,0.043274434,0.050084684,0.048157134,0.050771209,0.05292724,0.055788791,0.055597366,0.05721154,0.060300042,0.061212366,0.063215618,0.065979469,0.068601113,0.069819521,0.074235905,0.07765797,0.077643278
Nauru,0.001905895,0.001905895,0.001910754,0.001905895,0.001905895,0.001905895,0.001910754,0.001905895,0.001905895,0.002135371,0.002140859,0.002135371,0.002135371,0.002135382,0.001562009,0.001415747,0.001328913,0.001191369,0.001118101,0.001095681,0.000797771,0.000776977,0.000790272,0.000768162,0.000809698,0.002372231,0.000791126,0.000896848,0.000941001,0.000972632,0.001011824
Nepal,0.013903515,0.016025612,0.0156136,0.014665291,0.018735912,0.021467042,0.021698174,0.022185103,0.026002225,0.028246735,0.032584586,0.035186583,0.042711153,0.048562223,0.050193235,0.05296292,0.055766216,0.058656962,0.05859025,0.060839327,0.060021786,0.058363315,0.065978046,0.07548485,0.080506223,0.085222996,0.089197853,0.095260281,0.102926533,0.091485599,0.134083223
Netherlands,3.11525189,3.204173671,3.209960106,3.231301449,3.360315489,3.529949561,3.492362098,3.568689021,3.598241735,3.696501069,3.901525383,3.844257809,3.856613878,3.837214969,3.916860379,4.029213972,4.072785478,4.139628735,4.237195921,4.261559624,4.247773937,4.245166456,4.203527671,4.050019496,4.248995178,4.07667791,4.007687121,3.941542389,3.767240229,3.791084561,3.854142393
Netherlands Antilles,0.151507485,0.152043853,0.143635968,0.150339631,0.147085948,0.140197595,0.138572907,0.13853208,0.143262077,0.152477131,0.150772075,0.15975045,0.161681699,0.158005221,0.186737525,0.19178503,0.186465691,0.185157851,0.192120729,0.199136276,0.20049057,0.212041168,0.211659134,0.203430263,0.175502466,0.197955227,0.185272292,0.185648305,0.187341706,0.191881449,0.193630713
New Caledonia,0.022729747,0.022452439,0.024293858,0.026488529,0.025623913,0.025863269,0.026623869,0.026254244,0.027076119,0.027143729,0.027275745,0.025458363,0.025968591,0.026505975,0.034220555,0.032724509,0.035391474,0.038289173,0.037133517,0.040753933,0.04011023,0.043042499,0.043206237,0.043460535,0.050608784,0.050027781,0.053145307,0.056073991,0.066931399,0.065840829,0.070719596
New Zealand,0.600419991,0.611108264,0.650433605,0.664054139,0.701930711,0.705554706,0.708185281,0.718533258,0.759818296,0.776850401,0.785127426,0.784438881,0.766530122,0.791978101,0.81031554,0.820065516,0.846010451,0.81089673,0.834247991,0.812529226,0.816968888,0.819980585,0.824957597,0.820746972,0.843649342,0.841559917,0.835762317,0.851598658,0.895256306,0.886777587,0.905002718
Nicaragua,0.034510906,0.036107896,0.03663242,0.03969667,0.036832812,0.035235922,0.039740505,0.040896443,0.041698857,0.044613189,0.0470265,0.048363764,0.052328373,0.056106338,0.055605463,0.059025039,0.060160688,0.063831949,0.066430184,0.067516292,0.067842949,0.070668323,0.071517145,0.07154903,0.073972478,0.077812894,0.078542044,0.083445454,0.088293779,0.096881889,0.097067388
Niger,0.008219527,0.008888292,0.012557405,0.012868243,0.012727906,0.012882725,0.012575594,0.013245895,0.013377408,0.013785229,0.013853471,0.013923656,0.014452983,0.013454429,0.011319624,0.011084372,0.011787458,0.012961611,0.014224662,0.013403337,0.013484972,0.014511297,0.016128462,0.01898883,0.023502847,0.02359203,0.031656085,0.035776201,0.033914904,0.035719753,0.033301237
