"total energy consumption from nuclear, renewables, and other (quad Btu)",1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belize,0.00041784,0.00041676,0.00041296,0.00041728,0.00041608,0.00041744,0.00041368,0.00041236,0.00041264,0.00082496,0.001034,0.001103004,0.001070685,0.00117599,0.00112211,0.001637806,0.001685737,0.001424493,0.001616528,0.001696565,0.002660644,0.00269508,0.003004202,0.002718272,0.003881496,0.003886892,0.003714436,0.004032807,0.004190066,0.004243538,0.004346508
Benin,0.00056298,0.000576628,0.00058004,0.00063122,0.000644868,0.000692636,0.000812056,0.00081888,0.000825704,0.00087006,0.00094192,0.000941666,0.000890454,0.001044052,0.001282842,0.001453706,0.00151139,0.00179449,0.001982152,0.002040139,0.002062675,0.002015084,0.00229816,0.002974312,0.003451984,0.003472376,0.00376882,0.003703347,0.003232398,0.003641009,0.003805499
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0.00229786,0.008603852,0.011056364,0.011238556,0.011279978,0.011489112,0.011668464,0.011700832,0.012149704,0.012666028,0.014106744,0.014135,0.013592111,0.013568764,0.013578456,0.015127485,0.01691255,0.019099026,0.017857828,0.020410628,0.035878314,0.045929084,0.047728758,0.049393788,0.052196082,0.049920905,0.047688237,0.05328161,0.051448133,0.053710679,0.053425
Bolivia,0.012176414,0.01213454,0.013386728,0.013425592,0.013251816,0.014728008,0.014326342,0.014519331,0.014302268,0.013602692,0.015417679,0.016416603,0.015806138,0.018717448,0.020528913,0.022374136,0.022768678,0.020493333,0.021881988,0.020008027,0.021772304,0.023306573,0.023492021,0.023366282,0.022233942,0.023765336,0.023228685,0.025798938,0.02309981,0.024724173,0.018860976
Bosnia and Herzegovina,--,--,--,--,--,--,0.035235108,0.026115887,0.036004384,0.03626732,0.047056848,0.03922414,0.038232955,0.044035094,0.048137415,0.049282289,0.049251227,0.041875793,0.047140374,0.043196156,0.038025122,0.023955322,0.027997757,0.039702361,0.050636415,0.025764007,0.034485797,0.048886886,0.036985788,0.036594,0.029656911
Botswana,0.00081888,0.000245664,0.000245664,0.00022178,0.000286608,0.000361672,0.00027296,0.000542508,0.00105772,0.00116008,0.00233722,0.002552176,0.002350868,0.0029002,0.003364232,0.004036396,0.005025876,0.006394088,0.00651692,0.0067387,0.007530284,0.008594828,0.009307936,0.009529716,0.01018482,0.010710268,0.011164064,0.00963751,0.005764828,0.005027454,0.00572674
Brazil,1.967845902,2.04187229,2.159181275,2.27738936,2.292282722,2.437031971,2.478968284,2.588915754,2.697579658,2.847863275,3.004443512,3.113990082,3.22902522,3.25211794,3.396592106,3.156886471,3.313896906,3.529451283,3.613043903,3.750606764,3.891650017,4.144215569,4.144220524,4.286081734,4.536330413,4.797462995,4.636515007,4.485178681,4.38979155,4.305553153,4.586261717
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07316E-05,1.06876E-05,1.04676E-05,1.04951E-05,0.000010461,1.21147E-05,1.20016E-05
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000019032,0.000019082,0.00001902,0.000018638,0.000009232
Bulgaria,0.175970768,0.176222128,0.213225029,0.207185901,0.184003895,0.172532007,0.151625509,0.166536114,0.176962941,0.206513984,0.227574467,0.200709671,0.201093455,0.193506167,0.206822861,0.200121011,0.227560783,0.195345233,0.186819644,0.211036497,0.220324035,0.171829982,0.175820741,0.177140565,0.185789578,0.171303253,0.187391581,0.193111007,0.20532819,0.209026281,0.212147767
Burkina Faso,0,0,0,0,0.000093618,0.000135668,0.00020684,0.000484523,0.000742752,0.000969328,0.00117876,0.001174495,0.000795366,0.001257798,0.000989497,0.000772841,0.001026392,0.001207428,0.001329152,0.001416401,0.001267788,0.001510328,0.001794322,0.0017733,0.002503852,0.00256338,0.002765876,0.002922894,0.002627468,0.002494671,0.003598984
Burma,0.011050474,0.010835095,0.009840672,0.012100104,0.01256541,0.013096056,0.015779144,0.017591179,0.016583493,0.016703257,0.01695565,0.017101378,0.009642994,0.010561161,0.019129048,0.018689073,0.022541517,0.022559354,0.023880889,0.029698257,0.032727547,0.035501496,0.03981551,0.050801061,0.049374287,0.072369011,0.073227585,0.08342757,0.083317133,0.087112622,0.081741056
Burundi,0.000725918,0.00102033,0.001104316,0.00110842,0.001167606,0.001226436,0.001154044,0.001232792,0.00132274,0.001305452,0.0013292,0.00134498,0.001210421,0.001111342,0.001102058,0.001297382,0.001401218,0.001189924,0.001116396,0.001192157,0.001168448,0.001409268,0.001353106,0.001485104,0.001757296,0.001649448,0.00173664,0.001763504,0.00173358,0.001697445,0.00177216
Cabo Verde,0,0,0,0,0,0,0,0.000020618,0.00005158,0.000061872,0.00007238,0.000071491,0.000081576,0.000081808,0.000081608,0.000061998,0.000061038,0.000050625,0.000060096,0.000059994,0.000069433,0.000069188,0.000059124,0.00006832,0.000039024,0.0002429,0.000675636,0.000791903,0.0008559,0.000792115,0.000766256
Cambodia,0.00041784,0.000468855,0.0005162,0.000563328,0.000644924,0.000667904,0.000692914,0.000711321,0.000732436,0.000752776,0.00079618,0.000582141,0.00050985,0.000449944,0.000479447,0.000327147,0.000329074,0.000540481,0.000482088,0.000688889,0.000828983,0.000993896,0.00155266,0.003042708,0.005169591,0.006331227,0.012272763,0.017520866,0.023776719,0.024043207,0.029757982
Cameroon,0.023994462,0.023974119,0.025696436,0.027144064,0.027138818,0.027571912,0.027137408,0.027071434,0.027450876,0.0281002,0.02935526,0.031261993,0.031457745,0.033756026,0.034765008,0.035535187,0.03204495,0.035366625,0.038872096,0.037336266,0.044595824,0.03839934,0.042047018,0.03949872,0.041726412,0.042915572,0.040029924,0.042874523,0.045598934,0.040537352,0.043029788
Canada,3.906880789,3.987976088,3.973031742,3.888607553,3.893813407,4.098540979,4.084612361,4.290779199,4.446775335,4.426282704,4.573163884,4.386151028,4.102925686,4.279971442,4.373986053,4.262595006,4.368843933,4.268555351,4.413668492,4.589612185,4.563451744,4.600466276,4.69276137,4.572922963,4.498996644,4.730437046,4.682929486,4.939078815,4.953822576,4.818124782,4.85987136
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000036928
Central African Republic,0.000793896,0.000760587,0.000763976,0.000771968,0.000790552,0.0007827,0.000796334,0.000793793,0.000814964,0.00082496,0.00083754,0.000847679,0.000825957,0.000828306,0.000846683,0.000847306,0.000834186,0.000840375,0.001241984,0.001329867,0.001378741,0.001344224,0.001340144,0.0013176,0.00130828,0.001421451,0.00142169,0.001310933,0.001601484,0.00156932,0.001563901
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.54E-07,9.51E-07,2.7957E-06,8.58576E-05
